Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Rfxcel,https://www.crunchbase.com/organization/rfxcel,"Cloud Computing, Compliance, Data Integration, SaaS, Software","San Ramon, California, United States","San Francisco Bay Area, West Coast, Western US",2003-01-01,year,,,2017-08-03,30000000,USD,30000000,Series B,30000000,USD,30000000,Early Stage Venture,Kayne Partners,1
Know Your Customer,https://www.crunchbase.com/organization/know-your-customer,"Compliance, FinTech, Information Technology, SaaS, Software","Causeway Bay, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),2015-09-29,day,,,2019-04-30,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,CLSA,1
PerformLine,https://www.crunchbase.com/organization/performline,"Compliance, Internet, Risk Management","Morristown, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2008-01-01,year,,,2017-08-31,4000000,USD,4000000,Debt Financing,,,,Early Stage Venture,"Bridge Bank, First Round Capital, Neu Venture Capital, Rose Tech Ventures, Western Technology Investment",10
RADAR,https://www.crunchbase.com/organization/radar-llc,"Compliance, Privacy, Risk Management, SaaS, Security","Portland, Oregon, United States","West Coast, Western US",2014-01-01,year,,,2018-11-12,,,,Undisclosed,,,,,Vista Equity Partners,1
Apiax,https://www.crunchbase.com/organization/apiax,"Compliance, FinTech, Information Services, Information Technology, Legal, Risk Management","Zürich, Zurich, Switzerland",,2017-05-01,month,,,2017-09-22,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,"DIventures, Peter Kurer, SICTIC, Tugboat Ventures, Zürcher Kantonal Bank",5
DPOrganizer,https://www.crunchbase.com/organization/dporganizer,"Compliance, Data Visualization, Legal, SaaS","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",2015-01-01,year,,,2018-07-17,3000000,EUR,3495973,Series A,3000000,EUR,3495973,Early Stage Venture,"Creades AB, Inbox Capital, Industrifonden, Paladin Capital Group, Propel Capital",6
Corlytics,https://www.crunchbase.com/organization/corlytics,"Compliance, Financial Services, FinTech, Risk Management","Dublin, Dublin, Ireland",European Union (EU),2013-01-01,year,,,2018-11-25,10000000,EUR,11337611,Venture - Series Unknown,10000000,EUR,11337611,,"Infinity Capital, Kernel Capital, Kernel Capital",3
HyperProof,https://www.crunchbase.com/organization/hyperproof,"Artificial Intelligence, Blockchain, Cloud Computing, Compliance, Enterprise Software, Machine Learning, SaaS","Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",2018-08-17,day,,,2018-10-26,1950000,USD,1950000,Venture - Series Unknown,1950000,USD,1950000,,,
DataRails,https://www.crunchbase.com/organization/datarails,"Analytics, Compliance, FinTech, Information Technology, SaaS, Software","Rishon Letsiyon, HaMerkaz, Israel",,2015-01-01,day,,,2018-06-01,3000000,USD,3000000,Series A,3000000,USD,3000000,Early Stage Venture,"Innovation Endeavors, Microsoft ScaleUp Tel Aviv, Oryzn Capital, Vertex Ventures, Vertex Ventures Israel",7
"Giant Oak, Inc",https://www.crunchbase.com/organization/giant-oak-inc,"Artificial Intelligence, Compliance, Fraud Detection, Identity Management, Machine Learning, SaaS","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2013-05-01,day,,,2018-10-02,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,Edison Partners,1
eloomi A/S,https://www.crunchbase.com/organization/eloomi,"Application Performance Management, Compliance, Corporate Training, E-Learning, Human Resources, SaaS","Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",2015-04-01,day,,,2018-06-01,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,,"PreSeed Ventures, Seed Capital, VF Venture",3
MinerEye,https://www.crunchbase.com/organization/minereye,"Artificial Intelligence, Compliance, Cyber Security, Security","Hod Hasharon, HaMerkaz, Israel",,2014-02-23,day,,,2017-08-01,3600000,USD,3600000,Seed,3600000,USD,3600000,Seed,"Awz HLS Investment Fund I LP, Marius Nacht, Microsoft ScaleUp Tel Aviv",3
EverythingBenefits,https://www.crunchbase.com/organization/everythingbenefits,"Business Information Systems, Compliance, Employee Benefits, Enterprise Software, Health Insurance, Human Resources, Information Technology, Insurance, Software","New Providence, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2015-03-07,day,,,2017-08-04,4000000,USD,4000000,Series A,4000000,USD,4000000,Early Stage Venture,,
Kyckr Limited,https://www.crunchbase.com/organization/kyckr,"Compliance, FinTech, Legal","Waterford, Waterford, Ireland",European Union (EU),2007-04-08,day,2016-09-08,day,2018-06-01,5000000,AUD,3784541,Post-IPO Equity,5000000,AUD,3784541,IPO,,
UpCodes,https://www.crunchbase.com/organization/upcodes,"Architecture, Civil Engineering, Compliance, Construction","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-02-08,day,,,2018-06-11,665000,USD,665000,Seed,665000,USD,665000,Seed,"Bragiel Brothers, Foundation Capital, Kevin Moore, Liquid 2 Ventures, Y Combinator",8
Rapidly,https://www.crunchbase.com/organization/rapidly,"Compliance, Finance, Financial Services, FinTech, Information Technology, Marketplace","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-02-27,day,,,2018-05-24,150000,USD,150000,Convertible Note,300000,USD,300000,Seed,,
Sedicii,https://www.crunchbase.com/organization/sedicii,"Compliance, Cyber Security, FinTech, Fraud Detection, Identity Management, Security","Waterford, Waterford, Ireland",European Union (EU),2013-01-01,year,,,2017-09-06,1050000,EUR,1252271,Seed,1050000,EUR,1252271,Seed,"EASME - EU Executive Agency for SMEs, Enterprise Ireland, Oxygen Accelerator",3
