Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Vulcan Cyber,https://www.crunchbase.com/organization/vulcan-cyber,"Cyber Security, Network Security, Security","Tel Aviv, Tel Aviv, Israel",,2018-03-18,day,,,2019-06-26,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Michael Sutton, TenEleven Ventures, YL Ventures",3
Area 1 Security,https://www.crunchbase.com/organization/area-1-security,"Cyber Security, Network Security, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-11-01,month,,,2018-10-23,32000000,USD,32000000,Series C,32000000,USD,32000000,Late Stage Venture,"First Round Capital, Icon Ventures, Kleiner Perkins, RedSeal, Top Tier Capital Partners",15
Venafi,https://www.crunchbase.com/organization/venafi,"Cyber Security, Enterprise Software, Security","Salt Lake City, Utah, United States",Western US,2004-01-01,year,,,2018-11-29,100000000,USD,100000000,Series G,100000000,USD,100000000,Late Stage Venture,"Foundation Capital, Intel Capital, Pelion Venture Partners, Silver Lake Partners, TCV",8
Skybox Security,https://www.crunchbase.com/organization/skybox-security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2002-01-01,year,,,2017-10-25,150000000,USD,150000000,Private Equity,150000000,USD,150000000,Private Equity,"CVC Capital Partners, Lightspeed Venture Partners, Providence Equity Partners, Rembrandt Venture Partners, Susquehanna Growth Equity",14
Bugcrowd,https://www.crunchbase.com/organization/bugcrowd,"Crowdsourcing, Cyber Security, Penetration Testing, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-09-01,day,,,2018-03-01,26000000,USD,26000000,Series C,26000000,USD,26000000,Late Stage Venture,"Blackbird Ventures (Australia), Costanoa Ventures, Industry Ventures, Partech, Salesforce Ventures",14
Crypta Labs,https://www.crunchbase.com/organization/crypta-labs,"Cyber Security, Internet of Things, Mobile, Security","Islington, Islington, United Kingdom",European Union (EU),2014-05-06,day,,,2019-07-12,1900000,EUR,2143484,Venture - Series Unknown,1900000,EUR,2143484,,"Angels Den, Bloc Ventures, Innovate UK, Pitch@Palace",4
Arctic Wolf Networks,https://www.crunchbase.com/organization/arctic-wolf-networks,"Big Data, Cyber Security, Network Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-01-01,year,,,2018-10-25,45000000,USD,45000000,Series C,45000000,USD,45000000,Late Stage Venture,"Adams Street Partners, Future Fund, Lightspeed Venture Partners, Redpoint, Sonae IM",7
Lookout,https://www.crunchbase.com/organization/lookout,"Cloud Security, Cyber Security, Enterprise Software, Mobile, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,,,2018-01-01,,,,Secondary Market,150000000,USD,150000000,Late Stage Venture,"Andreessen Horowitz, Goldman Sachs, Khosla Ventures, Morgan Stanley, Qualcomm Ventures",21
Claroty,https://www.crunchbase.com/organization/claroty,"Cyber Security, Industrial, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-01-01,year,,,2018-12-31,,,,Series C,,,,Late Stage Venture,"Bessemer Venture Partners, KfW, Siemens, Team8, Temasek Holdings",17
Synack,https://www.crunchbase.com/organization/synack,"Crowdsourcing, Cyber Security, Network Security, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2017-10-19,,,,Undisclosed,,,,,"GV, Hewlett Packard Enterprise, Icon Ventures, Intel Capital, Techstars",17
Telegram Messenger,https://www.crunchbase.com/organization/telegram-messenger,"Apps, Cyber Security, Desktop Apps, Messaging, Mobile, Mobile Apps, Privacy, Security, Social Media","London, England, United Kingdom",European Union (EU),2013-08-14,day,,,2018-03-29,850000000,USD,850000000,Initial Coin Offering,850000000,USD,850000000,,"Alexis Berthoud, Concentric, Dalma Capital, O.D. Kobo",4
Cofense,https://www.crunchbase.com/organization/phishme,"Cyber Security, Enterprise Software, Security","Leesburg, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2011-01-01,year,2018-02-26,day,2018-02-23,,,,Venture - Series Unknown,,,,M&A,"Aldrich Capital Partners, Bessemer Venture Partners, Paladin Capital Group, Telstra Ventures",4
Expanse,https://www.crunchbase.com/organization/expanse-inc,"Cyber Security, Information Technology, Security, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-05-01,day,,,2019-04-09,70000000,USD,70000000,Series C,70000000,USD,70000000,Late Stage Venture,"Founders Fund, New Enterprise Associates, Peter Thiel, Susa Ventures, TPG Growth",18
StackRox,https://www.crunchbase.com/organization/stackrox,"Artificial Intelligence, Cloud Computing, Cyber Security, Enterprise Software, Information Technology, Machine Learning, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-11-01,month,,,2018-04-10,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Amplify Partners, Avalon Ventures, Redpoint, Sequoia Capital",4
BitSight,https://www.crunchbase.com/organization/bitsight,"Cyber Security, Risk Management, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2011-01-01,year,,,2018-06-28,60000000,USD,60000000,Series D,60000000,USD,60000000,Late Stage Venture,"Comcast Ventures, GGV Capital, Menlo Ventures, National Science Foundation, Warburg Pincus",13
Siemplify,https://www.crunchbase.com/organization/siemplify,"Analytics, Cyber Security, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2019-05-20,30000000,USD,30000000,Series C,30000000,USD,30000000,Late Stage Venture,"83North, G20 Ventures, Georgian Partners, Greylock Partners, Jump Capital",14
BlueVoyant,https://www.crunchbase.com/organization/blueteamglobal,"Computer, Cyber Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-07-01,month,,,2019-05-30,82500000,USD,82500000,Series B,82500000,USD,82500000,Early Stage Venture,"Fiserv, Winton Ventures",2
Deep Instinct,https://www.crunchbase.com/organization/deep-instinct,"Artificial Intelligence, Cyber Security, Machine Learning, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-12,32000000,USD,32000000,Series B,32000000,USD,32000000,Early Stage Venture,"Alpha Intelligence Capital, Coatue Management, Millennium Technology Value Partners, Nvidia GPU Ventures, Samsung Ventures",5
UltraSoC Technologies,https://www.crunchbase.com/organization/ultrasoc,"Cyber Security, Embedded Systems, Hardware, Infrastructure, Software","Cambridge, Cambridgeshire, United Kingdom",European Union (EU),2006-01-01,year,,,2019-07-19,2000000,GBP,2509630,Grant,5000000,GBP,6369329,Late Stage Venture,"Innovate UK, Octopus Ventures, Oxford Capital Partners, Seraphim Capital, The FSE Group",11
IntSights,https://www.crunchbase.com/organization/intsights,"Analytics, Artificial Intelligence, Cyber Security, Enterprise Software, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-21,17000000,USD,17000000,Series D,17000000,USD,17000000,Late Stage Venture,"Blackstone Group, ClearSky, Glilot Capital Partners, Tola Capital, Vintage Investment Partners",7
ClearDATA,https://www.crunchbase.com/organization/cleardata,"Cloud Data Services, Cloud Infrastructure, Compliance, Cyber Security, Information Technology, Security, Service Industry","Austin, Texas, United States",Southern US,2011-01-01,year,,,2018-11-19,26000000,USD,26000000,Series E,26000000,USD,26000000,Late Stage Venture,"Flare Capital Partners, Health Care Service Corporation, HLM Venture Partners, Humana, Norwest Venture Partners",8
JASK,https://www.crunchbase.com/organization/jask-labs-inc,"Artificial Intelligence, Cyber Security, Security","Austin, Texas, United States",Southern US,2015-07-09,day,,,2018-06-28,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Battery Ventures, Dell Technologies Capital, Kleiner Perkins, TenEleven Ventures, Vertical Venture Partners",7
CyberInt,https://www.crunchbase.com/organization/cyberint,"Cyber Security, Fraud Detection, Network Security, Security","Petah Tiqva, HaMerkaz, Israel",,2010-01-01,day,,,2018-05-31,18000000,USD,18000000,Series B,18000000,USD,18000000,Early Stage Venture,"Avi Naor, Dov Baharav, Mario Segal, Viola Growth, Zohar Zisapel",5
CybeReady,https://www.crunchbase.com/organization/cybeready,Cyber Security,"Los Gatos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-09-01,day,,,2019-06-12,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,,"Baseline Ventures, Stitch Fix",2
SafeBreach,https://www.crunchbase.com/organization/safebreach,"Cyber Security, Intrusion Detection, Network Security, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2018-05-08,15000000,USD,15000000,Series B,15000000,USD,15000000,Early Stage Venture,"Deutsche Telekom Capital Partners, DNX Ventures, Pathfinder, PayPal, Shlomo Kramer",8
Instart,https://www.crunchbase.com/organization/instart-logic,"Advertising, Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-11-01,day,,,2017-11-02,30000000,USD,30000000,Series E,30000000,USD,30000000,Late Stage Venture,"Andreessen Horowitz, Greylock Partners, StartX (Stanford-StartX Fund), Sutter Hill Ventures, Tenaya Capital",12
Verodin,https://www.crunchbase.com/organization/verodin,"Cloud Security, Compliance, Cyber Security, Intrusion Detection, Network Security, Penetration Testing, Security, Software","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2014-01-01,year,2019-05-28,day,2018-06-28,21000000,USD,21000000,Series B,21000000,USD,21000000,M&A,"Bessemer Venture Partners, Capital One Growth Ventures, Citi Ventures, Crosslink Capital, TenEleven Ventures",8
Intezer,https://www.crunchbase.com/organization/intezer,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",,2015-09-01,month,,,2017-10-19,8000000,USD,8000000,Series A,8000000,USD,8000000,Early Stage Venture,"Alon N. Cohen, FilesX, Intel Capital, Magma Venture Partners, Samsung NEXT",5
Securicy,https://www.crunchbase.com/organization/securicy,"Compliance, Cyber Security, Information Technology, Security, Software","Halifax, Nova Scotia, Canada",,2016-09-18,day,,,2019-07-09,1200000,USD,1200000,Seed,1200000,USD,1200000,Seed,"Hub Angels Investment Group, Innovacorp, Panache Ventures, Techstars, Techstars Boston Accelerator",6
Flashpoint,https://www.crunchbase.com/organization/flashpoint-partners,"Business Intelligence, Cyber Security, Information Technology, Security, Software, Telecommunications","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2010-01-01,year,,,2017-07-12,28000000,USD,28000000,Series C,28000000,USD,28000000,Late Stage Venture,"Bloomberg Beta, Georgian Partners, Greycroft, Jump Capital, K2 Intelligence",9
Panaseer,https://www.crunchbase.com/organization/panaseer,"Big Data, Cyber Security, Enterprise Software, Information Technology","London, England, United Kingdom",European Union (EU),2014-06-01,month,,,2018-06-18,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Albion Capital Group, C5 Capital, Cisco Investments, Notion, Paladin Capital Group",11
Indegy,https://www.crunchbase.com/organization/indegy,"Cyber Security, Industrial, Infrastructure","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-07-01,day,,,2018-08-28,18000000,USD,18000000,Series B,18000000,USD,18000000,Early Stage Venture,"Aspect Ventures, Centrica, SBI Group, Vertex Ventures, Vertex Ventures Israel",10
Karamba Security,https://www.crunchbase.com/organization/karamba-security,"Automotive, Cyber Security, Software","Bloomfield Hills, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",2015-01-01,year,,,2018-04-10,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Fontinalis Partners, Liberty Mutual Strategic Ventures, Paladin Capital Group, Western Technology Investment, YL Ventures",8
Defendify,https://www.crunchbase.com/organization/defendify,"Cyber Security, SaaS","Portland, Maine, United States","East Coast, New England, Northeastern US",2017-01-01,year,,,2019-06-19,1600000,USD,1600000,Pre-Seed,1600000,USD,1600000,Seed,"3dot6 Ventures, Maine Technology Institute",2
Kaseya,https://www.crunchbase.com/organization/kaseya,"Cyber Security, Enterprise, SaaS, Security, Software","Dublin, Dublin, Ireland",European Union (EU),2000-01-01,year,,,2019-05-03,500000000,USD,500000000,Private Equity,500000000,USD,500000000,Private Equity,"Insight Partners, Ireland Strategic Investment Fund, Kanwal Rekhi, TPG, Whitman Capital",5
