Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
SKALE Labs,https://www.crunchbase.com/organization/skale-labs,"Blockchain, FinTech, Information Technology, Internet, Internet of Things","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-01,day,,,2018-10-04,8860000,USD,8860000,Venture - Series Unknown,8860000,USD,8860000,,"Aspect Ventures, Canaan Partners, FLOODGATE, Galaxy Digital LP, Multicoin Capital",12
Billon Group,https://www.crunchbase.com/organization/billon-group,"Blockchain, FinTech","London, England, United Kingdom",European Union (EU),2015-12-01,month,,,2019-05-14,2780575,USD,2780575,Grant,,,,Early Stage Venture,"EASME - EU Executive Agency for SMEs, GoBeyond, Horizon 2020, National Center for Research & Development, National Center for Research and Development",6
NuCypher,https://www.crunchbase.com/organization/nucypher,"Blockchain, Cyber Security, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-19,day,,,2017-12-12,4400000,USD,4400000,Venture - Series Unknown,4400000,USD,4400000,,"Compound, Creative Destruction Lab, Kenetic, Polychain, Y Combinator",17
Blox,https://www.crunchbase.com/organization/blox,"Blockchain, Financial Services, Information Technology","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,,,2017-07-17,8000000,USD,8000000,Initial Coin Offering,8000000,USD,8000000,,Coinsilium Group,1
SafeChain,https://www.crunchbase.com/organization/safechain-llc,"Blockchain, FinTech, Government, Real Estate","Columbus, Ohio, United States","Great Lakes, Midwestern US",2017-01-01,day,,,2018-06-25,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,"Aspect Ventures, Precursor Ventures, Rev1 Ventures, Rise of the Rest, Social Capital",10
Insolar,https://www.crunchbase.com/organization/ins-consumer-ecosystem,"Blockchain, Internet, IT Infrastructure","Moscow, Moscow City, Russian Federation",,2017-07-07,day,,,2017-12-04,41500000,USD,41500000,Initial Coin Offering,41500000,USD,41500000,,,
Symmetrical.ai,https://www.crunchbase.com/organization/symmetrical-ai,"Blockchain, FinTech, Machine Learning, Marketplace","London, England, United Kingdom",European Union (EU),2018-09-05,day,,,2019-05-24,1350000,EUR,1512740,Pre-Seed,1350000,EUR,1512740,Seed,"Finch Capital, Jens Lapinski, Market One Capital, Piotr Smolen, Plug and Play",7
Quantstamp,https://www.crunchbase.com/organization/quantstamp-technologies,"Blockchain, Cyber Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-07-01,day,,,2019-03-06,2625000,USD,2625000,Corporate Round,2625000,USD,2625000,,"Fifty Years, Kenetic, Pioneer Fund, VentureSouq, Y Combinator",10
Fuel Games,https://www.crunchbase.com/organization/fuel-games,"Blockchain, PC Games, Video Games","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2018-01-01,year,,,2018-07-09,2400000,USD,2400000,Seed,2400000,USD,2400000,Seed,"Coinbase, Continue Capital, Nirvana Capital, Sora Ventures",4
Fantom Foundation,https://www.crunchbase.com/organization/fantom-foundation,"Blockchain, Information Technology","Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),,,,,2018-06-22,40000000,USD,40000000,Venture - Series Unknown,40000000,USD,40000000,,"8 Decimal Capital, Elysium Venture Capital, JRR Crypto, Kosmos Capital, Nirvana Venture Advisors",11
Linius Technologies,https://www.crunchbase.com/organization/linius-technologies,"Advertising, Artificial Intelligence, Blockchain, Developer Tools, Digital Marketing, PaaS, SaaS, Software","Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",2011-01-01,year,2011-08-05,day,2018-02-26,10000000,USD,10000000,Post-IPO Equity,10000000,USD,10000000,IPO,Robert Kirby,1
Braintrust,https://www.crunchbase.com/organization/braintrust-bac9,"Blockchain, Human Resources, Information Technology, Internet, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-05-22,day,,,2018-12-11,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,True Ventures,1
Abacus,https://www.crunchbase.com/organization/abacusfi,"Blockchain, Finance, Financial Services, FinTech","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-06-05,day,,,2018-12-17,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Coinbase, Cypher Capital, Justin Kan, Y Combinator, Yeoman’s Growth Capital",5
B3i,https://www.crunchbase.com/organization/b3i,"Blockchain, Insurance, InsurTech","Zürich, Zurich, Switzerland",,2016-01-01,year,,,2019-03-25,16000000,USD,16000000,Series A,16000000,USD,16000000,Early Stage Venture,,
Change,https://www.crunchbase.com/organization/change-finance,"Banking, Blockchain, Finance, Financial Services","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2016-01-01,year,,,2017-10-16,17549264,USD,17549264,Initial Coin Offering,17549264,USD,17549264,,Enabling Future,1
tZero,https://www.crunchbase.com/organization/tzero,"Blockchain, Financial Services, FinTech","Midvale, Utah, United States",Western US,2017-01-01,year,,,2019-05-09,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,,"Gianni D'Alerta, GSR Capital, StartEngine",3
DIYblockchain,https://www.crunchbase.com/organization/diyblockchain,"Artificial Intelligence, Blockchain, Cloud Infrastructure, Enterprise Software, SaaS","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2018-11-03,day,,,2019-07-16,2500000,USD,2500000,Angel,2500000,USD,2500000,Seed,Herbert Rafael Sim,1
Project Provenance,https://www.crunchbase.com/organization/provenance,"Blockchain, FinTech, Information Technology, Retail Technology, SaaS, Social Impact, Supply Chain Management","London, England, United Kingdom",European Union (EU),2014-09-01,day,,,2018-07-18,,,,Venture - Series Unknown,,,,,"Digital Currency Group, Innovate UK, Peter Gabriel, Plug and Play, Wayra",11
"SMARTIFICIAL RESEARCH & TECHNOLOGY, INC",https://www.crunchbase.com/organization/smartificial-research-technology-inc,"Artificial Intelligence, Blockchain, Education, Health Care, Machine Learning, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-08-21,day,,,2019-03-07,55000000,USD,55000000,Corporate Round,55000000,USD,55000000,,,
Lucidity,https://www.crunchbase.com/organization/kr8os,"Advertising, Advertising Platforms, Analytics, Blockchain, Mobile Advertising","Marina Del Rey, California, United States","Greater Los Angeles Area, West Coast, Western US",2017-08-01,month,,,2018-08-15,5000000,USD,5000000,Corporate Round,5000000,USD,5000000,,"3Rodeo, CoinUs, Cypher Group, Pithia, Youbi Capital",5
Sentinel Protocol,https://www.crunchbase.com/organization/sentinel-protocol,"Blockchain, Cyber Security, Information Technology","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,2018-06-19,27700000,USD,27700000,Initial Coin Offering,27700000,USD,27700000,,,
Swarm Fund,https://www.crunchbase.com/organization/swarm-fund,"Blockchain, Crowdfunding, Financial Services","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2017-10-31,5500000,USD,5500000,Initial Coin Offering,5500000,USD,5500000,,"Techstars, Techstars London Accelerator",2
OriginTrail,https://www.crunchbase.com/organization/origintrail,"Blockchain, Information Services, Information Technology, Supply Chain Management","Ljubljana, Ljubljana Urban Commune, Slovenia",European Union (EU),2013-01-01,year,,,2018-01-15,22500000,USD,22500000,Initial Coin Offering,22500000,USD,22500000,,,
NuID,https://www.crunchbase.com/organization/nuid-inc,"Blockchain, Cyber Security, Identity Management, Network Security, Security, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-04-19,day,,,2018-12-13,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,"8VC, Jemison Investment Company, Kairos",3
Brickblock,https://www.crunchbase.com/organization/brickblock,"Blockchain, Financial Services, Real Estate, Smart Building","Gibraltar, Gibraltar, Gibraltar",,2017-01-01,year,,,2018-05-08,5000000,EUR,5933682,Series A,5000000,EUR,5933682,Early Stage Venture,Finch Capital,1
StreetCred,https://www.crunchbase.com/organization/streetcred,"Blockchain, Data Integration, Location Based Services, Mapping Services","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-03-01,month,,,2018-06-20,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,"Bowery Capital, Notation Capital",2
VideoCoin,https://www.crunchbase.com/organization/videocoin,"B2B, Blockchain, Cloud Infrastructure, Cloud Storage, Software, Video, Video Streaming","Grand Cayman, Midland, Cayman Islands",,2017-01-01,year,,,2018-03-16,50000000,USD,50000000,Initial Coin Offering,50000000,USD,50000000,,"Alphabit Fund, Anthony Di Iorio, Distributed Network Advisors, Randall Kaplan, Science Blockchain",7
