Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Purism,https://www.crunchbase.com/organization/purism,"Cyber Security, Hardware, Linux, Mobile Devices, Open Source, Operating Systems, Privacy, Software","South San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-11-01,day,,,2017-10-10,1586663,USD,1586663,Product Crowdfunding,850000,USD,850000,Seed,,
Wave Application,https://www.crunchbase.com/organization/wave-application,"Location Based Services, Mobile, Privacy","Madrid, Madrid, Spain",European Union (EU),2013-01-01,year,,,2018-04-07,827810,GBP,1166586,Equity Crowdfunding,827810,GBP,1166586,,"Crowdcube, NewTech Capital",2
Statice,https://www.crunchbase.com/organization/statice-dec7,"Cyber Security, Information Services, Information Technology, Privacy","Berlin, Berlin, Germany",European Union (EU),2017-01-01,year,,,2019-04-16,,,,Seed,,,,Seed,"Capnamic Ventures, Data Pitch, WATTx, WestTech Ventures",4
Tu Identidad,https://www.crunchbase.com/organization/tu-identidad,"Cyber Security, Privacy, Security","Santa Fe, Distrito Federal, Mexico",,,,,,2019-05-07,600000,USD,600000,Venture - Series Unknown,600000,USD,600000,,"Dark Horse Ventures, Finnovista, Startupbootcamp",3
Dessmann,https://www.crunchbase.com/organization/dessmann,"Biometrics, Privacy, Public Safety","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,2018-11-02,100000000,CNY,14512103,Series B,100000000,CNY,14512103,Early Stage Venture,"Hotata, Red Star Macalline, Share Capital",3
CloudRail,https://www.crunchbase.com/organization/cloudrail,"Cloud Computing, Cloud Data Services, Cyber Security, Developer APIs, Internet of Things, Privacy, Software","Mannheim, Baden-Wurttemberg, Germany",European Union (EU),2013-09-01,day,,,2018-02-02,540000,EUR,672708,Seed,540000,EUR,672708,Seed,"BWM GmbH, Leonardo Venture, Rheinland-Pfalz Fonds, Ulrich Turck Family Office",4
Guardian Firewall,https://www.crunchbase.com/organization/guardian-mobile-firewall,"Cyber Security, Information Technology, Privacy, Software",,,,,,,2018-11-01,850000,USD,850000,Seed,850000,USD,850000,Seed,Stephen Russell,1
"Overnest, Inc.",https://www.crunchbase.com/organization/overnest-inc,"Blockchain, Cloud Security, Enterprise Applications, Enterprise Software, Internet, Privacy, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-03-25,day,,,2018-02-01,,,,Undisclosed,,,,,"DHVC, Fusion Fund, Mandra Capital, SVS Ventures, Wei Guo",5
TrackOFF,https://www.crunchbase.com/organization/trackoff,"Personalization, Privacy, Security, Software","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2015-01-01,year,,,2018-06-04,999998,USD,999998,Venture - Series Unknown,999998,USD,999998,,"Blu Venture Investors, TEDCO",2
Link Motion,https://www.crunchbase.com/organization/nqmobile,"Android, Apps, Mobile, PaaS, Privacy, SaaS, Security, Software, Wireless","Dongcheng, Shaanxi, China",Asia-Pacific (APAC),2005-10-04,day,2011-05-06,day,2018-07-20,,,,Corporate Round,,,,IPO,"Ceyuan Ventures, China AI Capital, GSR Ventures, Qualcomm, Sequoia Capital",5
