Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
KnowBe4,https://www.crunchbase.com/organization/knowbe4-llc,"Computer, Network Security, Security, Software","Clearwater, Florida, United States","Tampa Bay Area, East Coast, Southern US",2010-08-13,day,,,2019-06-12,300000000,USD,300000000,Series D,300000000,USD,300000000,Late Stage Venture,"Elephant, Goldman Sachs, Kohlberg Kravis Roberts, TenEleven Ventures",4
ZeroFOX,https://www.crunchbase.com/organization/zerofox,"Network Security, Security, Social Media","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2013-01-01,year,,,2017-07-12,40000000,USD,40000000,Series C,40000000,USD,40000000,Late Stage Venture,"ClearSlide, Frank A. Bonsal, Jr., Highland Capital Partners, NEA, New Enterprise Associates",17
Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,"Data Center, Information Technology, Network Security, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-01-01,year,,,2017-07-27,30700000,USD,30700000,Venture - Series Unknown,30700000,USD,30700000,,"Greylock Partners, Index Ventures, Intel Capital, Khosla Ventures, Redpoint",12
Axonius,https://www.crunchbase.com/organization/axonius,"Computer, Information Technology, Internet of Things, Network Security","Tel Aviv, Tel Aviv, Israel",,2017-06-01,day,,,2019-02-12,13000000,USD,13000000,Series A,13000000,USD,13000000,Early Stage Venture,"Bessemer Venture Partners, Emerge, Vertex Ventures, Vertex Ventures Israel, YL Ventures",5
QEDIT,https://www.crunchbase.com/organization/qed-it,"Blockchain, Compliance, Computer, Information Technology, Network Security, Privacy","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,,,2019-05-07,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Ant Financial, Meron Capital, RGAx, Target Global, VMware",13
Cognigo,https://www.crunchbase.com/organization/cognigo,"Artificial Intelligence, Cloud Security, Compliance, Data Center, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-08-01,month,2019-05-27,day,2018-11-13,8500000,USD,8500000,Series A,8500000,USD,8500000,M&A,"MassChallenge, Mitvah Shamir, OurCrowd, Prosegur, State of Mind Ventures",5
Onapsis,https://www.crunchbase.com/organization/onapsis,"Cyber Security, Network Security, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-09-01,day,,,2018-04-13,31000000,USD,31000000,Series C,31000000,USD,31000000,Late Stage Venture,"David Bonderman, Endeavor Catalyst, LLR Partners, Schlumberger, TPG",10
TrueFort,https://www.crunchbase.com/organization/truefort,"Analytics, Network Security","Weehawken, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2019-06-20,13700000,USD,13700000,Series A,13700000,USD,13700000,Early Stage Venture,"Emerald Development Managers, Evolution Equity Partners, Great Road Holdings, Lytical Ventures",4
Lavelle Networks,https://www.crunchbase.com/organization/lavelle-networks,"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS","Bengaluru, Karnataka, India",Asia-Pacific (APAC),2015-03-01,month,,,2019-03-01,2087000,USD,2087000,Series A,2087000,USD,2087000,Early Stage Venture,"ASM Technologies Limited, Ideaspring Capital, Microsoft Accelerator Bangalore, ShoreTel, YourNest Venture Capital",6
LogRocket,https://www.crunchbase.com/organization/logrocket,"Information Services, Information Technology, Network Security, Software, UX Design, Video","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2016-01-01,year,,,2019-03-21,11000000,USD,11000000,Series A,11000000,USD,11000000,Early Stage Venture,"Battery Ventures, Kevin Mahaffey, Matrix Partners, Nitesh Banta",4
