Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Nuweba,"Cyber Security, Information Technology","Tel Aviv, Tel Aviv, Israel",4800000.0,Seed,4800000.0,Seed,1.0,,2019-02,20191Q,Target Global,,,,,,,
ReSec Technologies,"B2B, Cloud Security, Cyber Security","Caesarea, Hefa, Israel",2000000.0,Series B,2000000.0,Early Stage Venture,5.0,2012.0,2019-01,20191Q,Explore. Dream. Discover., Founders Group, PICO Venture Partners, Plug and Play, PLUS Ventures,,,
Smart Protection,"Artificial Intelligence, Cyber Security, Intellectual Property, Legal, Legal Tech, Machine Learning, SaaS, Security, Software","Madrid, Madrid, Spain",870060.0,Seed,870060.0,Seed,5.0,2015.0,2019-01,20191Q,Bankinter Capital Riesgo, Big Sur Ventures, EASME - EU Executive Agency for SMEs, JME Ventures, Wayra,European Union (EU),,
Skeps,"Blockchain, Internet","New York, New York, United States",1000000.0,Seed,1000000.0,Seed,1.0,2018.0,2019-01,20191Q,Accel India,,,,,Greater New York Area, East Coast, Northeastern US
"Monarx, Inc.","Cloud Security, CMS, Cyber Security, Network Security, SaaS, Software, Web Hosting","Salt Lake City, Utah, United States",3900000.0,Seed,3900000.0,Seed,3.0,2017.0,2019-02,20191Q,Crosscut Ventures, Kickstart Seed Fund, Pelion Venture Partners,,,Western US,,
BuyCoins,"Bitcoin, Cryptocurrency, Mobile Apps","Lagos, Lagos, Nigeria",1100000.0,Seed,1100000.0,Seed,1.0,2017.0,2019-03,20191Q,Y Combinator,,,,,,,
PopID,"Artificial Intelligence, Computer, Identity Management, Software","Los Angeles, California, United States",5000000.0,Series A,5000000.0,Early Stage Venture,2.0,2016.0,2019-04,20192Q,Cali Group, Wavemaker Partners,,,,Greater Los Angeles Area, West Coast, Western US
WealthPark,"Blockchain, Crowdfunding, Insurance, Real Estate","Tokyo, Tokyo, Japan",4870367.0,Series A,4870367.0,Early Stage Venture,3.0,2018.0,2019-03,20191Q,Japan Post Capital, Mizuho Capital, SBI Investment,,,Asia-Pacific (APAC),,
Young Platform,"Blockchain, Cryptocurrency, FinTech","Turin, Piemonte, Italy",582499.0,Equity Crowdfunding,582499.0,,,2018.0,2019-06,20192Q,,,,,,European Union (EU),,
Confiant,"Advertising Platforms, Security, Software","New York, New York, United States",4100000.0,Series A,4100000.0,Early Stage Venture,2.0,2013.0,2019-05,20192Q,River Bay Investments, Rubicon Venture Capital,,,,Greater New York Area, East Coast, Northeastern US
K2 Cyber Security,"Cloud Data Services, Cyber Security","San Jose, California, United States",6000000.0,Seed,6000000.0,Seed,2.0,,2019-02,20191Q,Embark Ventures, GreatPoint Ventures,,,,San Francisco Bay Area, Silicon Valley, West Coast
Nethone,"Artificial Intelligence, Big Data, Business Intelligence, Cyber Security, Fraud Detection, Machine Learning, Risk Management","Warsaw, Mazowieckie, Poland",1000000.0,Seed,1000000.0,Seed,1.0,2016.0,2019-04,20192Q,Innovation Nest,,,,,European Union (EU),,
Bitkub Capital Group Holdings,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services","Bangkok, Krung Thep, Thailand",2100000.0,Seed,2100000.0,Seed,2.0,2018.0,2019-05,20192Q,dtac Accelerate, SeaX Ventures,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Cyscale,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Information Technology, Software","Cluj-napoca, Cluj, Romania",56437.0,Pre-Seed,56437.0,Seed,3.0,2018.0,2019-07,20193Q,Laura Cical, Ovidiu Cical, Techcelerator,,,European Union (EU),,
Bitfarms,"Blockchain, Financial Services, FinTech, Information Services, Information Technology","Brossard, Quebec, Canada",20000000.0,Post-IPO Debt,,IPO,1.0,2017.0,2019-03,20191Q,Dominion Capital,,,,,,,
bdeo,"Artificial Intelligence, Augmented Reality, Blockchain, Video","Madrid, Madrid, Spain",1115349.0,Venture - Series Unknown,1115349.0,,4.0,2017.0,2019-04,20192Q,Big Sur Ventures, K Fund, Startupbootcamp, Startupbootcamp FinTech Mexico City,,European Union (EU),,
CyberHat,"Consulting, Cyber Security, Financial Services, Information Technology, Management Consulting, Security","Tel Aviv, Tel Aviv, Israel",6000000.0,Venture - Series Unknown,6000000.0,,1.0,2013.0,2019-04,20192Q,Mangrove Capital Partners,,,,,,,
Monerium,"Blockchain, Financial Services","Reykjavík, Gullbringusysla, Iceland",2000000.0,Seed,2000000.0,Seed,3.0,2015.0,2019-01,20191Q,ConsenSys, Crowberry Capital, Hof Holdings,,,Nordic Countries, Scandinavia,
IXX.com,Blockchain,"Beijing, Beijing, China",5000000.0,Venture - Series Unknown,5000000.0,,1.0,2018.0,2019-06,20192Q,Mayflower,,,,,Asia-Pacific (APAC),,
Spare,"Mobile Apps, Network Security, Transportation","Vancouver, British Columbia, Canada",4480986.0,Seed,4480986.0,Seed,1.0,2015.0,2019-04,20192Q,Mitsubishi Corporation,,,,,,,
Jointer,"Blockchain, Commercial Real Estate, Real Estate","San Francisco, California, United States",1500000.0,Seed,1500000.0,Seed,,2016.0,2019-02,20191Q,,,,,,San Francisco Bay Area, West Coast, Western US
Tangem,"Blockchain, Cryptocurrency, Electronics, FinTech, Security, Semiconductor","Zug, Zug, Switzerland",15000000.0,Venture - Series Unknown,15000000.0,,1.0,2017.0,2019-01,20191Q,SBI Crypto Investment,,,,,,,
Sayata Labs,"Information Technology, Insurance, Security","Tel Aviv, Tel Aviv, Israel",6500000.0,Seed,6500000.0,Seed,2.0,2016.0,2019-03,20191Q,Elron Electronic Industries, RDC - Rafael Development Corporation,,,,,,
Covr Security AB,"Cyber Security, Information Technology","Malmö, Skane Lan, Sweden",2743539.0,Series A,2743539.0,Early Stage Venture,2.0,2015.0,2019-02,20191Q,Martin Randel, Victor Bengtsson,,,,European Union (EU), Nordic Countries, Scandinavia
Paladin Drones,"Security, Software","Mountain View, California, United States",1300000.0,Seed,1300000.0,Seed,2.0,,2019-05,20192Q,Khosla Ventures, Paul Buchheit,,,,San Francisco Bay Area, Silicon Valley, West Coast
Donut,"Blockchain, FinTech","Berlin, Berlin, Germany",1800000.0,Seed,1800000.0,Seed,8.0,2018.0,2019-03,20191Q,Entrepreneur First, Heiko Hubertz, Kelly Ford, Redalpine, Tiny VC,European Union (EU),,
Solvent,"Blockchain, Financial Services, FinTech, Fraud Detection, Payments, Software","Annapolis, Maryland, United States",850000.0,Seed,850000.0,Seed,,2019.0,2019-03,20191Q,,,,,,Greater Baltimore-Maryland Area, East Coast, Southern US
Citalid Cybersecurity,"Cyber Security, Network Security","Versailles, Ile-de-France, France",1523370.0,Seed,1523370.0,Seed,2.0,2017.0,2019-06,20192Q,Axeleo, BNP Paribas Private Equity,,,,European Union (EU),,
CDRX,"Banking, Blockchain, Financial Exchanges, Financial Services, FinTech, Stock Exchanges, Trading Platform","Singapore, Central Region, Singapore",15000000.0,Series A,15000000.0,Early Stage Venture,,2018.0,2019-01,20191Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Coinhouse,"Blockchain, Cryptocurrency","Paris, Ile-de-France, France",2800000.0,Series A,2800000.0,Early Stage Venture,6.0,2014.0,2019-01,20191Q,ConsenSys Ventures, Digital Currency Group, Eric Larchevêque, Thomas France, XAnge,European Union (EU),,
Second State,"Blockchain, Information Technology, Open Source, Software","Austin, Texas, United States",3000000.0,Series A,3000000.0,Early Stage Venture,3.0,,2019-07,20193Q,Ethereum Classic Labs, Marc Fleury, SIG China (SIG Asia Investments),,,Southern US,,
Sorare,"Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer","Paris, Ile-de-France, France",614044.0,Pre-Seed,614044.0,Seed,5.0,2018.0,2019-05,20192Q,Chris Hitchen, ConsenSys Ventures, Kima Ventures, Seedcamp, Thomas France,European Union (EU),,
EnergyFunders,"Blockchain, Crowdfunding, Finance, FinTech, Oil and Gas","Houston, Texas, United States",290000.0,Seed,290000.0,Seed,2.0,2013.0,2019-02,20191Q,EnergyFunders, SeedInvest,,,,Greater Houston Area, Southern US,
LogDog,"Analytics, Big Data, Cyber Security, Mobile, Security","Tel Aviv, Tel Aviv, Israel",250000.0,Venture - Series Unknown,250000.0,,5.0,2013.0,2019-02,20191Q,BRM Capital, Curious Minds, Firstime Venture Capital, Maxfield Capital, TheTime,,,
Spring Labs,"Blockchain, Credit, Financial Services","Los Angeles, California, United States",23000000.0,Series A,23000000.0,Early Stage Venture,11.0,2017.0,2019-06,20192Q,500 Startups, Galaxy Digital LP, General Motors Ventures, Jump Capital, Multicoin Capital,Greater Los Angeles Area, West Coast, Western US
Merkle Science,"Blockchain, Information Services, Information Technology","Singapore, Central Region, Singapore",803425.0,Seed,803425.0,Seed,6.0,,2019-05,20192Q,Digital Currency Group, Entrepreneur First, Kenetic, LuneX Ventures, SGInnovate,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Horizen Labs,"Blockchain, Information Technology","Austin, Texas, United States",4000000.0,Seed,4000000.0,Seed,2.0,2019.0,2019-04,20192Q,Digital Currency Group, Liberty City Ventures,,,,Southern US,,
Commonwealth Labs,"Cryptocurrency, FinTech, Information Technology","San Francisco, California, United States",2000000.0,Seed,2000000.0,Seed,3.0,2018.0,2019-03,20191Q,1confirmation, Canaan Partners, Ryan Zurrer,,,San Francisco Bay Area, West Coast, Western US
Bionema,"Agriculture, Biotechnology, CRM, Cyber Security, Farming, Information Technology","Swansea, Swansea, United Kingdom",228433.0,Seed,228433.0,Seed,5.0,,2019-06,20192Q,Development Bank of Wales, Innovate UK, Karl Wills, Richard Salvage, Swansea Innovation,European Union (EU),,
DriveLock SE,"Information Technology, Internet, Network Security, Security, Software","Muenchen, Bayern, Germany",3418651.0,Venture - Series Unknown,3418651.0,,1.0,1999.0,2019-01,20191Q,Nordwind Capital GmbH,,,,,European Union (EU),,
Tykn,"Cryptocurrency, FinTech, Venture Capital","Amsterdam, Noord-Holland, The Netherlands",1340105.0,Venture - Series Unknown,1340105.0,,3.0,2016.0,2019-05,20192Q,Chivas Venture, Johan Mastenbroek, Rockstart Accelerator,,,European Union (EU),,
Morpher,"Blockchain, FinTech, Software","Vienna, Wien, Austria",1250000.0,Seed,1250000.0,Seed,1.0,2018.0,2019-01,20191Q,Draper Associates,,,,,European Union (EU),,
MedBlox,"Artificial Intelligence, Big Data, Blockchain, Data Integration, Data Mining, Electronic Health Record (EHR), Health Care, Machine Learning, Medical","Coralville, Iowa, United States",250000.0,Seed,250000.0,Seed,,2018.0,2019-05,20192Q,,,,,,Midwestern US,,
Eversend,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments","Paris, Ile-de-France, France",125000.0,Convertible Note,20000.0,Seed,3.0,2017.0,2019-02,20191Q,London School of Economics and Political Science (LSE), Techstars, Wilco,,,European Union (EU),,
Echosec,"Analytics, Business Intelligence, Cyber Security, Identity Management, Machine Learning, Marketing, National Security, Predictive Analytics, Security","Victoria, British Columbia, Canada",1482085.0,Debt Financing,,,1.0,2013.0,2019-04,20192Q,TIMIA Capital,,,,,,,
Lyfegen,"Blockchain, Electronic Health Record (EHR), Health Care, Health Insurance, Payments, SaaS","Basel, Basel-Stadt, Switzerland",738843.0,Seed,738843.0,Seed,,2018.0,2019-04,20192Q,,,,,,,,
Fyde,"Computer, Cyber Security, Network Security","Palo Alto, California, United States",2249959.0,Seed,2249959.0,Seed,5.0,2017.0,2019-07,20193Q,Bright Pixel, DNX Ventures, Portugal Ventures, Vertex Ventures, Wells Fargo,San Francisco Bay Area, Silicon Valley, West Coast
SafeTalpa,"Cyber Security, Developer APIs, Information Technology","Bogotá, Distrito Especial, Colombia",1000.0,Grant,35000.0,Seed,4.0,2018.0,2019-07,20193Q,Esteban Dalel, Exponential Impact, Jeff Meyerson, Pioneer,,,,
Hack The Box,Cyber Security,"Folkestone, Kent, United Kingdom",1300000.0,Seed,1300000.0,Seed,1.0,2017.0,2019-04,20192Q,Marathon Venture Capital,,,,,European Union (EU),,
Standard Tokenization Protocol,"Asset Management, Blockchain","Singapore, Central Region, Singapore",7000000.0,Initial Coin Offering,7000000.0,,3.0,,2019-05,20192Q,Alphabit Fund, BlockVC, NEO Global Capital (NGC),,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Incuto,"Banking, Blockchain, FinTech, Payments","Ilkley, Bradford, United Kingdom",127032.0,Seed,127032.0,Seed,2.0,2016.0,2019-06,20192Q,Fair by Design Fund, North East Innovation Fund,,,,European Union (EU),,
Leondrino,"Blockchain, Finance, Financial Services, FinTech, Loyalty Programs, Payments, Virtual Currency","New York, New York, United States",70000.0,Convertible Note,500000.0,Seed,2.0,2014.0,2019-04,20192Q,PI Beteiligungs- und Verwaltungsgesellschaft mbH, Saxonia Systems Holding GmbH,,,,Greater New York Area, East Coast, Northeastern US
Path Network,"Blockchain, Content Delivery Network, Information Services, Infrastructure, Internet, Network Security","Tempe, Arizona, United States",1000000.0,Seed,1000000.0,Seed,1.0,2018.0,2019-04,20192Q,Bitmain,,,,,Greater Phoenix Area, Western US,
AI Insurance,"Artificial Intelligence, Health Insurance, Insurance, Machine Learning, Security","Mountain View, California, United States",150000.0,Seed,150000.0,Seed,1.0,2018.0,2019-03,20191Q,Y Combinator,,,,,San Francisco Bay Area, Silicon Valley, West Coast
TRM Labs,Blockchain,"California, Usulutan, El Salvador",1700000.0,Seed,1700000.0,Seed,5.0,2017.0,2019-01,20191Q,Alumni Ventures Group, Blockchain Capital, Green D Ventures, Tapas Capital, The MBA Fund,,,
Cosmian,"Analytics, Big Data, Cyber Security, Data Mining, Internet","Paris, Ile-de-France, France",1572164.0,Seed,1572164.0,Seed,7.0,2018.0,2019-03,20191Q,Acequia Capital (Acecap), Elaia, Florian Douetteau, Guillaume Amblard, Julien Lemoine,European Union (EU),,
cmorq,"Analytics, B2B, Big Data, Blockchain, Financial Services","New York, New York, United States",300000.0,Pre-Seed,300000.0,Seed,,2018.0,2019-02,20191Q,,,,,,Greater New York Area, East Coast, Northeastern US
Utop,Blockchain,"Ho Chi Minh City, NA - Vietnam, Vietnam",3000000.0,Venture - Series Unknown,3000000.0,,2.0,,2019-04,20192Q,FPT Corporation, SBI Group,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
TRUSFORT.COM,"Cyber Security, Mobile, Network Security, Security","Beijing, Beijing, China",44271947.0,Series C,44271947.0,Late Stage Venture,6.0,2015.0,2019-01,20191Q,CBC Capital, Redpoint, Redpoint Ventures China, SIG China (SIG Asia Investments), YF Capital (Yunfeng Capital),Asia-Pacific (APAC),,
20|30,"Blockchain, Enterprise, Financial Services","London, England, United Kingdom",3900000.0,Initial Coin Offering,3900000.0,,,2016.0,2019-04,20192Q,,,,,,European Union (EU),,
BlockState,"Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech, Trading Platform","Zug, Zug, Switzerland",81868.0,Grant,,Seed,1.0,2018.0,2019-01,20191Q,EASME - EU Executive Agency for SMEs,,,,,,,
Offchain Labs,Security,"Princeton, New Jersey, United States",3700000.0,Seed,3700000.0,Seed,1.0,2018.0,2019-04,20192Q,Pantera Capital,,,,,East Coast, Northeastern US,
Provenance Blockchain,"Blockchain, Cryptocurrency","San Francisco, California, United States",20000000.0,Initial Coin Offering,20000000.0,,,,2019-04,20192Q,,,,,,San Francisco Bay Area, West Coast, Western US
Guesser,"Cryptocurrency, Prediction Markets","Madrid, Madrid, Spain",1100000.0,Seed,1100000.0,Seed,3.0,2018.0,2019-04,20192Q,Boost VC, Compound, Version One Ventures,,,European Union (EU),,
Armis Security,"Cyber Security, Internet of Things, Security","Palo Alto, California, United States",65000000.0,Series C,65000000.0,Late Stage Venture,10.0,2015.0,2019-04,20192Q,Bain Capital Ventures, Insight Partners, Sequoia Capital, Sequoia Capital Israel, Tenaya Capital,San Francisco Bay Area, Silicon Valley, West Coast
Star chain technology,Blockchain,"Nanjing, Jiangsu, China",7278062.0,Seed,7278062.0,Seed,1.0,2019.0,2019-06,20192Q,Jolmo Capital,,,,,Asia-Pacific (APAC),,
Nym Technologies,"Information Technology, Messaging, Security","Neuchâtel, Neuchatel, Switzerland",2500000.0,Seed,2500000.0,Seed,4.0,,2019-05,20192Q,Binance Labs, Eden Block Venture Capital, Lemniscap, NEO Global Capital (NGC),,,,
UCH Growth Value Ecology,"Blockchain, Financial Services",,1500000.0,Angel,1500000.0,Seed,3.0,,2019-06,20192Q,Goldman Sachs, Sequoia Capital, Sparks Capital,,,,,
IDenfy,"Cyber Security, Identity Management, Online Portals","Kaunas, Kauno Apskritis, Lithuania",15799.0,Non-equity Assistance,186046.0,Seed,1.0,2017.0,2019-06,20192Q,StartUp HUB Poland,,,,,European Union (EU),,
Zeepson Technology,"Cloud Security, Internet of Things","Beijing, Beijing, China",14488763.0,Seed,14488763.0,Seed,3.0,2008.0,2019-05,20192Q,Guorong Capital, LeBox Capital, Tencent Holdings,,,Asia-Pacific (APAC),,
Citizen,"Biometrics, Cyber Security, Enterprise Software, Identity Management, Security","London, England, United Kingdom",914376.0,Seed,914376.0,Seed,3.0,2015.0,2019-01,20191Q,Barclays Accelerator, powered by Techstars - London, Metavallon VC, Techstars,,European Union (EU),,
"Stably Blockchain Labs, Inc","Blockchain, FinTech, Payments","Vancouver, British Columbia, Canada",1200000.0,Series A,1200000.0,Early Stage Venture,7.0,2018.0,2019-02,20191Q,500 Startups, BEENEXT, Paul Stahura, Raaid Hossain, Tony Chen,,,
CloseCross,"Blockchain, Internet, Software","London, England, United Kingdom",3000000.0,Series A,3000000.0,Early Stage Venture,1.0,2008.0,2019-01,20191Q,Amnis Ventures,,,,,European Union (EU),,
Aporeto,"Cyber Security, Government, Security","San Jose, California, United States",20000000.0,Series B,20000000.0,Early Stage Venture,7.0,2016.0,2019-01,20191Q,Comcast Ventures, Data Collective DCVC, National Grid Partners (NGP), Norwest Venture Partners, Wing Venture Capital,San Francisco Bay Area, Silicon Valley, West Coast
Everprove,"Blockchain, Information Technology, Internet, Software","Budapest, Budapest, Hungary",394852.0,Pre-Seed,394852.0,Seed,,2018.0,2019-07,20193Q,,,,,,European Union (EU),,
Zeteo Tech,"Information Technology, Security","Philadelphia, Pennsylvania, United States",6500000.0,Grant,3500000.0,,1.0,2013.0,2019-04,20192Q,Anzu Partners,,,,,Greater Philadelphia Area, Great Lakes, Northeastern US
Cliqueshare,"Collaboration, Mobile Apps, Photo Sharing, Privacy, SaaS","Wheaton, Illinois, United States",350000.0,Seed,350000.0,Seed,,2017.0,2019-06,20192Q,,,,,,Greater Chicago Area, Great Lakes, Midwestern US
StrongBlock,"Bitcoin, Blockchain, Cyber Security, Information Technology, Mobile Payments, Payments, Security","Santa Monica, California, United States",4000000.0,Seed,4000000.0,Seed,2.0,2018.0,2019-03,20191Q,Copernicus Asset Management, Pangea Blockchain Fund,,,,Greater Los Angeles Area, West Coast, Western US
Liquidata,"Big Data, Blockchain, E-Commerce, Information Technology, Internet","Santa Monica, California, United States",2000000.0,Seed,2000000.0,Seed,1.0,2018.0,2019-01,20191Q,Timothy Sehn,,,,,Greater Los Angeles Area, West Coast, Western US
Nebulous (Sia & Obelisk),"Application Specific Integrated Circuit (ASIC), Blockchain, Cloud Data Services, Cryptocurrency, Enterprise Software, Hardware, Security","Boston, Massachusetts, United States",3500000.0,Seed,3500000.0,Seed,12.0,2014.0,2019-07,20193Q,Bain Capital Ventures, Bessemer Venture Partners, Collaborative Fund, Hack VC, SV Angel,Greater Boston Area, East Coast, New England
Mt Pelerin,"Banking, Blockchain, Debit Cards, Finance, Financial Exchanges, Financial Services, FinTech, Marketplace, Payments, Transaction Processing","Geneva, Geneve, Switzerland",2039299.0,Equity Crowdfunding,2039299.0,,,2018.0,2019-01,20191Q,,,,,,,,
Editional,"Blockchain, Infrastructure","New City, New York, United States",1500000.0,Seed,1500000.0,Seed,3.0,,2019-05,20192Q,CoinFund, ConsenSys Ventures, Digital Currency Group,,,Greater New York Area, East Coast, Northeastern US
CYBERNETIQ,"Consulting, Cyber Security, Information Technology, Infrastructure, Real Time, Security","Ottawa, Ontario, Canada",250000.0,Seed,250000.0,Seed,1.0,2007.0,2019-06,20192Q,MaRS Investment Accelerator Fund,,,,,Great Lakes,,
DCEX,"Blockchain, Cryptocurrency, Internet","San Francisco, California, United States",1001.0,Series A,1001.0,Early Stage Venture,1.0,2017.0,2019-02,20191Q,Reddy Dandolu,,,,,San Francisco Bay Area, West Coast, Western US
Paperchain,"Blockchain, Cryptocurrency, Film, Financial Services, FinTech, Media and Entertainment, Music, SaaS, Software","New York, New York, United States",120000.0,Pre-Seed,120000.0,Seed,1.0,2017.0,2019-01,20191Q,Techstars,,,,,Greater New York Area, East Coast, Northeastern US
Bikeep,"Cycling, Infrastructure, Internet of Things, Landscaping, Security, Smart Building","San Francisco, California, United States",1317703.0,Seed,1317703.0,Seed,2.0,2013.0,2019-02,20191Q,Kristian Hiiemaa, Madis Müür,,,,San Francisco Bay Area, West Coast, Western US
Sharebee,"Cryptocurrency, E-Commerce, Peer to Peer, Self-Storage, Sharing Economy","Montréal, Quebec, Canada",299277.0,Pre-Seed,299277.0,Seed,,2016.0,2019-04,20192Q,,,,,,,,
Red Points,"Artificial Intelligence, Image Recognition, Intellectual Property, Legal, Machine Learning, Security","Barcelona, Catalonia, Spain",38000000.0,Series C,38000000.0,Late Stage Venture,7.0,2011.0,2019-04,20192Q,Eight Roads Ventures, Mangrove Capital Partners, Northzone, Sabadell Venture Capital, Summit Partners,European Union (EU),,
SettleMint NV,"Apps, Blockchain, Financial Services, Information Technology, Mining Technology, Software","Leuven, Vlaams-Brabant, Belgium",2029589.0,Grant,,Seed,2.0,2016.0,2019-03,20191Q,Horizon 2020, Medici Ventures,,,,European Union (EU),,
Magic Cube,"Blockchain, Gaming, Mining","Suzhou, Jiangsu, China",5000000.0,Series A,5000000.0,Early Stage Venture,14.0,2015.0,2019-05,20192Q,8btc.com, BitMart, IDG Capital, NEO Global Capital (NGC), Plug and Play,Asia-Pacific (APAC),,
ICW,"Analytics, Compliance, Supply Chain Management","Kowloon City, Kowloon, Hong Kong",2520000.0,Series A,2520000.0,Early Stage Venture,4.0,2016.0,2019-04,20192Q,Betatron, Innovation and Technology Venture Fund, MindWorks Ventures, The Aria Group,,Asia-Pacific (APAC),,
Aggregion,"Big Data, Blockchain, Information Technology, Internet of Things, Media and Entertainment, Publishing","London, England, United Kingdom",1500000.0,Series A,1500000.0,Early Stage Venture,3.0,2015.0,2019-03,20191Q,BlockRock Capital, Haitao Capital, Techemy Capital,,,European Union (EU),,
SecureSky,Cyber Security,"Omaha, Nebraska, United States",6500000.0,Seed,6500000.0,Seed,,2018.0,2019-02,20191Q,,,,,,Midwestern US,,
Biowatch,"Biometrics, Internet of Things, Mobile Payments, Security, Wearables, Wireless","Lausanne, Vaud, Switzerland",81868.0,Grant,1192311.0,Seed,10.0,2015.0,2019-01,20191Q,EASME - EU Executive Agency for SMEs, MassChallenge, Polytech Ventures, SICPA, Venture Kick,,,
Atomic Loans,"Blockchain, Cryptocurrency, Lending, Open Source, Peer to Peer","Toronto, Ontario, Canada",200000.0,Pre-Seed,200000.0,Seed,1.0,2019.0,2019-06,20192Q,ConsenSys,,,,,Great Lakes,,
Truffle,"Blockchain, Software","Yakima, Washington, United States",3000000.0,Venture - Series Unknown,3000000.0,,1.0,,2019-04,20192Q,ConsenSys,,,,,West Coast, Western US,
SIMBA Chain,"Blockchain, Cryptocurrency, Information Technology","Plymouth, Indiana, United States",500000.0,Pre-Seed,500000.0,Seed,5.0,2017.0,2019-02,20191Q,Elevate Ventures, Hari Agarwal, Najeeb Khan, Notre Dame Pit Road Fund, Tracy Graham,Great Lakes, Midwestern US,
FirstPoint Mobile Guard,"Cyber Security, Internet of Things, Mobile, Smart Cities, Telecommunications","Netanya, HaMerkaz, Israel",2500000.0,Seed,2500000.0,Seed,3.0,2016.0,2019-03,20191Q,Gideon Argov, Innogy Innovation Hub, The Stolero Group,,,,,
YesWeHack,"Cyber Security, Information Technology, Security","Paris, Ile-de-France, France",4518599.0,Venture - Series Unknown,4518599.0,,1.0,2013.0,2019-02,20191Q,Open CNP,,,,,European Union (EU),,
Figment Networks,"Blockchain, Cryptocurrency, SaaS","New York, New York, United States",1509946.0,Seed,1509946.0,Seed,4.0,2018.0,2019-02,20191Q,Bonfire Ventures, FJ Labs, Lemniscap, XDL Capital Group,,Greater New York Area, East Coast, Northeastern US
Cobalt,"Cloud Computing, Enterprise Software, Information Technology, Mobile, SaaS, Security","Montréal, Quebec, Canada",1000000.0,Seed,1000000.0,Seed,3.0,2008.0,2019-04,20192Q,Anges Quebec, Anges Québec Capital, Unknown Investor,,,,,
Open Packaging Network,"Artificial Intelligence, B2B, Blockchain, Information Services, Information Technology, Machine Learning, Marketplace, SaaS, Software","Zug, Zug, Switzerland",100463.0,Seed,100463.0,Seed,1.0,2018.0,2019-02,20191Q,Sergio Ciachir,,,,,,,
Ironx,"Blockchain, Cryptocurrency, Financial Services","Tallinn, Harjumaa, Estonia",26000000.0,Initial Coin Offering,26000000.0,,,2018.0,2019-04,20192Q,,,,,,European Union (EU),,
ProovStation,"Artificial Intelligence, Automotive, Blockchain, Cloud Computing, Logistics, Machine Learning, Rental","Lyon, Rhone-Alpes, France",840378.0,Pre-Seed,840378.0,Seed,,2018.0,2019-04,20192Q,,,,,,European Union (EU),,
iValue InfoSolutions,"Information Technology, Network Security","Bangalore, Karnataka, India",18000000.0,Private Equity,18000000.0,Private Equity,1.0,2008.0,2019-05,20192Q,Creador,,,,,Asia-Pacific (APAC),,
CoverUS,"Analytics, Blockchain, Health Care","Brooklyn, New York, United States",750000.0,Seed,750000.0,Seed,2.0,2018.0,2019-03,20191Q,Centrality, StartUp Health,,,,Greater New York Area, East Coast, Northeastern US
TEEX,"Blockchain, Computer","Singapore, Central Region, Singapore",2000000.0,Angel,2000000.0,Seed,4.0,2018.0,2019-01,20191Q,GBIC, IMO Ventures, NEO Global Capital (NGC), Sequoia Capital China,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Tu Identidad,"Cyber Security, Privacy, Security","Santa Fe, Distrito Federal, Mexico",600000.0,Venture - Series Unknown,600000.0,,3.0,,2019-05,20192Q,Dark Horse Ventures, Finnovista, Startupbootcamp,,,,,
ChainsGuard,"Blockchain, Enterprise, Service Industry","Beijing, Beijing, China",1444731.0,Angel,1444731.0,Seed,3.0,2018.0,2019-06,20192Q,CCID Phoenix Communications, JRR Crypto, Qidian Fund,,,Asia-Pacific (APAC),,
Sharin,Security,"Stockholm, Stockholms Lan, Sweden",1128753.0,Venture - Series Unknown,1128753.0,,1.0,,2019-04,20192Q,Inventure,,,,,European Union (EU), Nordic Countries, Scandinavia
Gecko Governance,"Blockchain, Computer, Software","Dundalk, Louth, Ireland",1400000.0,Series A,1400000.0,Early Stage Venture,1.0,2015.0,2019-03,20191Q,COSIMO Ventures,,,,,European Union (EU),,
MultiVu Technologies,"Health Care, Information Technology, Manufacturing, Mobile, Security","Tel Aviv, Tel Aviv, Israel",7000000.0,Seed,7000000.0,Seed,3.0,,2019-05,20192Q,CARDUMEN CAPITAL, Junson Capital, OurCrowd,,,,,
TIG,"Cyber Security, Information Technology, Internet, Security, Software","Watford, Hertford, United Kingdom",7580000.0,Venture - Series Unknown,7580000.0,,1.0,1999.0,2019-01,20191Q,Business Growth Fund,,,,,European Union (EU),,
