Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Uppsala Foundation,"Artificial Intelligence, Blockchain, Cyber Security, Fraud Detection, Machine Learning, Network Security, Security","Singapore, Central Region, Singapore",8000000.0,Initial Coin Offering,8000000.0,,,,2018-05,20182Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Amino Payments,"Blockchain, Financial Services, Payments","Philadelphia, Pennsylvania, United States",4500000.0,Seed,4500000.0,Seed,7.0,2017.0,2018-02,20181Q,Auren Hoffman, First Round Capital, MathCapital, Nyca Partners, You & Mr Jones Brandtech Ventures,Greater Philadelphia Area, Great Lakes, Northeastern US
Jutubao,"Network Security, Online Portals, Transaction Processing","Chongqing, Heilongjiang, China",15900000.0,Series B,15900000.0,Early Stage Venture,6.0,,2018-04,20182Q,Puchao Capital, Vertex Ventures, Vertex Ventures China, Warp Speed ​​Capital, Z&H Investment,Asia-Pacific (APAC),,
Wispero,"Big Data, Cyber Security, Information Technology, Security","Santa Clara, California, United States",105000.0,Seed,105000.0,Seed,,2016.0,2018-04,20182Q,,,,,,San Francisco Bay Area, Silicon Valley, West Coast
Good Returns Group,"Finance, Financial Services, Network Security","Dallas, Texas, United States",1000000.0,Seed,1000000.0,Seed,1.0,2014.0,2018-04,20182Q,Inverdale Capital Management,,,,,Dallas/Fort Worth Metroplex, Southern US,
Gron Digital,"Blockchain, Financial Services, Gambling, Gaming, Information Technology","Johannesburg, NA - South Africa, South Africa",1200000.0,Initial Coin Offering,1200000.0,,,2017.0,2018-03,20181Q,,,,,,,,
Fabric Token,"Apps, Blockchain, Finance, Software","Bulgaria, Emilia-Romagna, Italy",1000000.0,Initial Coin Offering,1000000.0,,,2017.0,2018-02,20181Q,,,,,,European Union (EU),,
CoinTracker,"Accounting, Apps, Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech","San Francisco, California, United States",1500000.0,Seed,1500000.0,Seed,7.0,2017.0,2018-04,20182Q,Blockstack, Initialized Capital, Kindred Ventures, Paul Buchheit, Y Combinator,San Francisco Bay Area, West Coast, Western US
Node Capital,"Big Data, Blockchain, Cryptocurrency, Data Mining, Predictive Analytics","New York, New York, United States",150000.0,Seed,150000.0,Seed,1.0,2017.0,2018-02,20181Q,Quake Capital Partners,,,,,Greater New York Area, East Coast, Northeastern US
CoinGeto,"Cryptocurrency, Trading Platform","Delhi, Delhi, India",1844026.0,Seed,1844026.0,Seed,1.0,,2018-03,20181Q,Impanix Capital,,,,,Asia-Pacific (APAC),,
EOE Foundation,"Asset Management, Blockchain, Cryptocurrency","Zürich, Zurich, Switzerland",10000000.0,Venture - Series Unknown,10000000.0,,1.0,,2018-05,20182Q,Lion Financial Group,,,,,,,
MobileCoin,"Cryptocurrency, Financial Services, FinTech","San Francisco, California, United States",30000000.0,Venture - Series Unknown,30000000.0,,3.0,,2018-04,20182Q,8 Decimal Capital, Binance, JLAB | JD capital,,,San Francisco Bay Area, West Coast, Western US
Superblocks,"Blockchain, Ethereum, Internet","Stockholm, Stockholms Lan, Sweden",1000000.0,Seed,1000000.0,Seed,1.0,2012.0,2018-05,20182Q,Cryptowell,,,,,European Union (EU), Nordic Countries, Scandinavia
AIDA Service,"Analytics, Blockchain, E-Commerce Platforms, Logistics, Marketing Automation, SaaS, Sales Automation, Warehousing","Tallinn, Harjumaa, Estonia",300000.0,Initial Coin Offering,300000.0,,,2017.0,2018-01,20181Q,,,,,,European Union (EU),,
iNVend,"Homeland Security, Identity Management, Security","Moscow, Moscow City, Russian Federation",156416.0,Seed,156416.0,Seed,2.0,,2018-03,20181Q,Mikhail Chuchkevich, Moscow Seed Fund,,,,,,
GladAge Care,"Blockchain, Financial Services","Tarneit, Victoria, Australia",2000000.0,Venture - Series Unknown,2000000.0,,1.0,,2018-04,20182Q,Almora,,,,,Asia-Pacific (APAC), Australasia,
BitPlus,"Banking, Bitcoin, Financial Exchanges","Michigan, North Dakota, United States",316795.0,Seed,316795.0,Seed,,2015.0,2018-04,20182Q,,,,,,Midwestern US,,
Templarbit,"Apps, Cyber Security, Information Technology","San Francisco, California, United States",3000000.0,Seed,3000000.0,Seed,7.0,2017.0,2018-02,20181Q,205 Capital, Lightspeed Venture Partners, Oleg Rogynskyy, Tech Coast Angels, Y Combinator,San Francisco Bay Area, West Coast, Western US
authentic.network,"Blockchain, Information Technology, Internet, Internet of Things","Chemnitz, Sachsen, Germany",1232895.0,Convertible Note,,,2.0,2016.0,2018-03,20181Q,Amentory Venture, WEGVISOR,,,,European Union (EU),,
TraderBox,"Blockchain, Cryptocurrency, Financial Exchanges, SaaS, Trading Platform","Moscow, Moscow City, Russian Federation",200000.0,Seed,200000.0,Seed,1.0,2018.0,2018-04,20182Q,Dmitry Solovyev,,,,,,,
