Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Biosite Systems,https://www.crunchbase.com/organization/biosite-systems,"Biometrics, Business Intelligence, Computer, Information Technology, Security, Software","Solihull, Solihull, United Kingdom",European Union (EU),2010-01-01,year,,,2018-03-07,,,,Venture - Series Unknown,,,,,"Future Fifty, Mobeus Equity Partners",2
moneytor,https://www.crunchbase.com/organization/moneytor,"Compliance, Debt Collections, Financial Services, FinTech, Machine Learning","Mumbai, Maharashtra, India",Asia-Pacific (APAC),2017-01-01,year,,,2018-01-11,300000,USD,300000,Seed,300000,USD,300000,Seed,"500 Startups, ISME ACE - FinTech Accelerator",2
Bizzy Labs,https://www.crunchbase.com/organization/startmonday,"Blockchain, Human Resources, Mobile, Recruiting, SaaS, Video Streaming","Amsterdam, Noord-Holland, The Netherlands",European Union (EU),2014-04-01,month,2016-10-21,day,2018-01-10,3000000,CAD,2393537,Post-IPO Equity,3000000,CAD,2393537,IPO,"Startupbootcamp, Startupbootcamp Commerce Amsterdam",2
ArtLifting,https://www.crunchbase.com/organization/artlifting,"Art, Public Safety, Security","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2013-12-01,day,,,2018-03-29,,,,Seed,,,,Seed,"Blake Mycoskie, Eric Ries, Joanne Wilson, MassChallenge, Tumml",8
Boldend,https://www.crunchbase.com/organization/boldend,"SaaS, Security","Carlsbad, California, United States","Greater San Diego Area, West Coast, Western US",2017-07-04,day,,,2018-06-29,6000000,USD,6000000,Venture - Series Unknown,6000000,USD,6000000,,,
Distributed Machines,https://www.crunchbase.com/organization/distributedmachines,"Blockchain, Crowdsourcing, Education, Information Technology","Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-01-01,year,,,2018-02-08,30000000,USD,30000000,Series A,30000000,USD,30000000,Early Stage Venture,"Galaxy Digital LP, Mucker Capital",2
Building Intelligence Inc.,https://www.crunchbase.com/organization/BuildingIntelligence,"Physical Security, Risk Management, SaaS, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2006-08-06,day,,,2018-04-01,4100000,USD,4100000,Series A,4100000,USD,4100000,Early Stage Venture,Founders Equity,1
algoreg,https://www.crunchbase.com/organization/algoreg,"Compliance, Financial Services, FinTech, Management Consulting","Luxembourg, Luxembourg, Luxembourg",European Union (EU),2017-02-01,month,,,2018-02-18,1000000,USD,1000000,Series A,1000000,USD,1000000,Early Stage Venture,"G&F fund, Huobi, Jean-Pierre Bitton",3
Quidax,https://www.crunchbase.com/organization/quidax,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Stock Exchanges","San Gwann, NA - Malta, Malta",European Union (EU),2017-07-17,day,,,2018-06-01,500000,USD,500000,Seed,500000,USD,500000,Seed,Genesis Node Capital,1
Vuulr,https://www.crunchbase.com/organization/vuulr,"Blockchain, Digital Entertainment, Digital Media, Marketplace","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2017-10-01,day,,,2018-01-31,1400000,SGD,1067558,Seed,1400000,SGD,1067558,Seed,,
Chain Partners,https://www.crunchbase.com/organization/chain-partners,"Blockchain, Cryptocurrency, Financial Exchanges, Internet, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),2017-08-02,day,,,2018-05-30,11000000,USD,11000000,Series A,11000000,USD,11000000,Early Stage Venture,"Capstone Partners, DS Asset Management, DSC Investment, Premier Partners",4
Maxxsure,https://www.crunchbase.com/organization/maxxsure,"Cyber Security, Information Technology, Risk Management","Richardson, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",2016-01-01,year,,,2018-06-28,350000,USD,350000,Seed,350000,USD,350000,Seed,,
MessageControl,https://www.crunchbase.com/organization/mailcontrol,"Cyber Security, Email, Internet, Messaging, Security","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2015-01-01,year,,,2018-01-20,3200000,USD,3200000,Seed,3200000,USD,3200000,Seed,Guild Capital,1
Orocobre,https://www.crunchbase.com/organization/orocobre,"Chemical, Chemical Engineering, Mineral, Security","Brisbane, Queensland, Australia","Asia-Pacific (APAC), Australasia",,,2010-06-18,day,2018-01-16,292000000,AUD,232734228,Post-IPO Equity,292000000,AUD,232734228,IPO,Toyota Tsusho,1
SEON - Fraud Prevention,https://www.crunchbase.com/organization/seon-security,"Computer, E-Commerce, Fraud Detection, Identity Management, Information Technology, Network Security, Security","Budapest, Budapest, Hungary",European Union (EU),2017-01-01,month,,,2018-02-15,500000,EUR,625145,Venture - Series Unknown,500000,EUR,625145,,"Fiedler Capital, PortfoLion",2
Soteria,https://www.crunchbase.com/organization/soteria,"Consulting, Security","Charleston, South Carolina, United States","East Coast, Southern US",2014-08-01,day,,,2018-04-13,2475300,USD,2475300,Venture - Series Unknown,2475300,USD,2475300,,,
Trustpair,https://www.crunchbase.com/organization/trustpair,"Cyber Security, SaaS, Software","Puteaux, Ile-de-France, France",European Union (EU),2017-10-01,month,,,2018-05-15,1100000,EUR,1300228,Seed,1100000,EUR,1300228,Seed,"Axeleo, Damien Guermonprez, Eduardo Ronzano, Kima Ventures, Pierre Antoine Dusoulier",5
aXpire,https://www.crunchbase.com/organization/axpire,"Accounting, Blockchain, Compliance, Cryptocurrency, Finance, Information Services, Information Technology","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,year,,,2018-03-22,20000000,USD,20000000,Initial Coin Offering,20000000,USD,20000000,,,
Scorum,https://www.crunchbase.com/organization/scorum,"Blockchain, Cryptocurrency, Digital Media, Fantasy Sports, Media and Entertainment, Sports","Minsk, Minsk, Belarus",,2017-02-01,month,,,2018-01-14,5630000,USD,5630000,Initial Coin Offering,5630000,USD,5630000,,,
Xriba,https://www.crunchbase.com/organization/xriba,"Blockchain, Information Technology","London, England, United Kingdom",European Union (EU),2018-01-01,year,,,2018-06-19,12600000,USD,12600000,Initial Coin Offering,12600000,USD,12600000,,,
Yours,https://www.crunchbase.com/organization/yours,"Bitcoin, Blockchain, Content, Cryptocurrency, Social Network","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-03-25,day,,,2018-01-15,1500000,USD,1500000,Series A,1500000,USD,1500000,Early Stage Venture,"Bitmain, Boost VC, Digital Currency Group, Digital Finance Group, nChain",7
True-Tickets,https://www.crunchbase.com/organization/true-tickets,"B2B, Blockchain, Information Technology, PaaS, SaaS, Ticketing","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2017-09-01,month,,,2018-04-01,750000,USD,750000,Seed,750000,USD,750000,Seed,,
Eligma,https://www.crunchbase.com/organization/eligma,"Artificial Intelligence, Big Data, Blockchain, Machine Learning, Mobile Payments","Ljubljana, Ljubljana Urban Commune, Slovenia",European Union (EU),2017-12-12,day,,,2018-03-01,11250740,USD,11250740,Initial Coin Offering,11250740,USD,11250740,,,
CertifID,https://www.crunchbase.com/organization/certifid,"Computer, Network Security","Grand Rapids, Michigan, United States","Great Lakes, Midwestern US",2017-01-01,year,,,2018-02-13,1700000,USD,1700000,Seed,1700000,USD,1700000,Seed,Wakestream Ventures,1
SnowShoe Stamp,https://www.crunchbase.com/organization/snowshoe,"Mobile, Security, Toys","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-04-01,day,,,2018-04-26,306286,USD,306286,Seed,306286,USD,306286,Seed,"Collaborative Fund, Lowercase Capital, Ludlow Ventures, Right Side Capital Management, Techstars",13
Qingteng Cloud Security,https://www.crunchbase.com/organization/qingteng-cloud-security,"Cloud Infrastructure, Cloud Management, Information Technology, SaaS, Security, Software","Beijing, Beijing, China",Asia-Pacific (APAC),2014-08-01,month,,,2018-02-27,32000000,USD,32000000,Series B,32000000,USD,32000000,Early Stage Venture,"CBC Capital, Redpoint, Sequoia Capital China, ZhenFund",4
ONO Social,https://www.crunchbase.com/organization/ono-4bc9,"Blockchain, Content, Social Media, Social Network","London, Ontario, Canada",Great Lakes,2017-11-18,day,,,2018-06-08,16000000,USD,16000000,Series A,16000000,USD,16000000,Early Stage Venture,"China Growth Capital | CGC, Green Pine Capital Partners, INBlockchain, Korea Investment Partners, Purple Cow",6
CREDITS,https://www.crunchbase.com/organization/credits-806d,"Blockchain, Cryptocurrency, Developer Platform, IT Infrastructure","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2016-09-12,day,,,2018-02-17,20000000,USD,20000000,Initial Coin Offering,20000000,USD,20000000,,,
Blocknative,https://www.crunchbase.com/organization/blocknative,"Blockchain, Ethereum, UX Design","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-01,month,,,2018-06-28,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,,"Adam Krongold, Foundry Group",2
